Class Name,Class Stereotype,Method Name,Method Stereotype
"ImageTestUtilsTest","degenerate","test_assertImagesEqual_same","controller stateless",
"ImageTestUtilsTest","degenerate","test_assertImagesEqual_different","controller stateless",
"ImageTestUtilsTest","degenerate","test_assertImageSizeEqual_same","wrapper stateless",
"ImageTestUtilsTest","degenerate","test_assertImageSizeEqual_different","wrapper stateless",
"XMI0001_Test","boundary degenerate small-class","testSimple","wrapper stateless",
"XMI0004_Test","boundary degenerate small-class","testSimple","wrapper stateless",
"XMI0002_Test","boundary degenerate small-class","testSimple","wrapper stateless",
"XmiTest","degenerate","checkXmlAndDescription","command",
"XmiTest","degenerate","assertXMIEqual","controller stateless",
"XmiTest","degenerate","removeVersion","controller stateless",
"XmiTest","degenerate","getLocalFolder","property non-void-command",
"XmiTest","degenerate","getPackageName","wrapper stateless",
"XmiTest","degenerate","getDiagramFile","property non-void-command collaborator",
"XmiTest","degenerate","runPlantUML","property non-void-command collaborator",
"XmiTest","degenerate","readStringFromSourceFile","controller stateless",
"XmiTest","degenerate","packString","controller stateless",
"TimingMessageArrowFont_0001_Test","boundary degenerate small-class","testIssue1746","wrapper stateless",
"TeozTimelineIssues_0007_Test","boundary degenerate small-class","testIssue1099","wrapper stateless",
"TeozTimelineIssues_0006_Test","boundary degenerate small-class","testIssue656","wrapper stateless",
"TeozTimelineIssues_0003_Test","boundary degenerate small-class","testIssueForum13409","wrapper stateless",
"TeozTimelineIssues_0002_Test","boundary degenerate small-class","testIssue739","wrapper stateless",
"TeozAltElseParallel_0006_Test","boundary degenerate small-class","testIssueGroupsInParallelMoreThan2","wrapper stateless",
"TeozAltElseParallel_0005_Test","boundary degenerate small-class","testIssue591","wrapper stateless",
"TeozAltElseParallel_0002_Test","boundary degenerate small-class","testIssue591c","wrapper stateless",
"TeozAltElseParallel_0001_Test","boundary degenerate small-class","testIssue591b","wrapper stateless",
"SequenceLeftMessageAndActiveLifeLines_0003_Test","boundary degenerate small-class","testIssue1683","wrapper stateless",
"SequenceLeftMessageAndActiveLifeLines_0002_Test","boundary degenerate small-class","testIssue1683","wrapper stateless",
"SequenceLeftMessageAndActiveLifeLines_0001_Test","boundary degenerate small-class","testIssue1683","wrapper stateless",
"SequenceLayout_0006_Test","boundary degenerate small-class","testTeozIssueFromPR1777c","wrapper stateless",
"SequenceLayout_0002_Test","boundary degenerate small-class","testIssue839","wrapper stateless",
"SequenceLayout_0001c_Test","boundary degenerate small-class","testIssue1680plusNoteLeft","wrapper stateless",
"SequenceLayout_0001b_Test","boundary degenerate small-class","testIssue1680plusNoteRight","wrapper stateless",
"SequenceArrows_0002_Test","boundary degenerate small-class","testIssue1683","wrapper stateless",
"QualifiedAssoc002_Test","boundary degenerate small-class","testIssue1491","wrapper stateless",
"HideShow004_Test","boundary degenerate small-class","testHideShowClassMembers","wrapper stateless",
"HideShow003_Test","boundary degenerate small-class","testIssue1768","wrapper stateless",
"HideShow001_Test","boundary degenerate small-class","testIssue1580","wrapper stateless",
"ChenMovieExtended_Test","boundary degenerate small-class","testSimple","wrapper stateless",
"A0006_Test","boundary degenerate small-class","testSimple","wrapper stateless",
"A0004_Test","boundary degenerate small-class","testSimple","wrapper stateless",
"A0002_Test","boundary degenerate small-class","testSimple","wrapper stateless",
"A0000_Test","boundary degenerate small-class","testSimple","wrapper stateless",
"ScXmlTest","unclassified","checkXmlAndDescription","command",
"ScXmlTest","unclassified","sortString","controller stateless",
"ScXmlTest","unclassified","getLocalFolder","property non-void-command",
"ScXmlTest","unclassified","getPackageName","wrapper stateless",
"ScXmlTest","unclassified","getDiagramFile","property non-void-command collaborator",
"ScXmlTest","unclassified","runPlantUML","property non-void-command collaborator",
