Unique Class Stereotype,Class Count
data-provider boundary data-class,1
commander lazy-class degenerate,1
commander degenerate,2
boundary data-class small-class,1
entity boundary small-class,1
small-class,4
boundary degenerate,2
commander boundary,21
data-provider,8
commander boundary small-class,6
boundary,23
pure-controller degenerate,1
unclassified,51
data-provider small-class,3
boundary degenerate small-class,1
pure-controller degenerate small-class,1
entity commander boundary,4
commander,61
empty,47
factory controller,1
lazy-class degenerate,1
entity factory controller data-class small-class,1
data-provider boundary,1
data-class,3
minimal-entity boundary,1
entity boundary,7
commander boundary data-class small-class,3
commander small-class,6
data-provider data-class small-class,1
commander boundary lazy-class degenerate,2
data-provider data-class,1
boundary small-class,1
commander data-class small-class,1
factory controller small-class,1
data-provider boundary lazy-class small-class,1
entity,1
Total,272
