Unique Class Stereotype,Class Count
factory controller,1
data-provider lazy-class degenerate,2
commander boundary data-class,2
commander data-class small-class,1
factory controller data-class small-class,1
lazy-class,2
commander data-class,4
factory pure-controller degenerate small-class,15
lazy-class degenerate,10
data-provider data-class,3
boundary small-class,19
controller small-class,9
unclassified,283
factory degenerate small-class,11
degenerate,120
boundary,175
pure-controller small-class,7
data-provider boundary lazy-class,1
entity commander boundary,81
lazy-class small-class,1
factory pure-controller small-class,2
entity boundary data-class small-class,5
pure-controller degenerate small-class,192
entity boundary small-class,77
entity minimal-entity commander boundary,2
entity commander boundary degenerate,1
small-class,90
empty,893
entity small-class,5
commander boundary small-class,70
boundary degenerate,26
commander boundary,386
boundary data-class,3
commander small-class,85
entity boundary degenerate,7
degenerate small-class,47
data-provider,39
data-provider small-class,8
entity minimal-entity boundary,9
data-provider boundary,22
controller degenerate,22
boundary lazy-class degenerate,6
entity factory controller data-class small-class,5
boundary degenerate small-class,70
entity factory controller small-class,6
data-provider boundary lazy-class degenerate,4
controller data-class small-class,2
boundary controller,1
data-provider boundary data-class,5
factory controller small-class,10
data-class small-class,6
commander degenerate,9
controller,27
pure-controller,8
data-provider boundary small-class,15
commander,422
commander boundary data-class small-class,2
entity boundary,201
data-class,6
pure-controller degenerate,92
entity data-provider boundary,9
data-provider boundary data-class small-class,11
data-provider data-class small-class,15
data-provider lazy-class,1
commander boundary degenerate,5
entity,10
boundary data-class small-class,6
commander lazy-class small-class,1
data-provider boundary degenerate,1
Total,3695
