Unique Method Stereotype,Method Count
get property,2
factory wrapper,1
predicate set collaborator,2
predicate set,3
get property set factory collaborator,1
predicate collaborator,6
property set factory collaborator,4
get property factory controller,3
get property factory wrapper,1
get command collaborator,5
get property wrapper,6
property set collaborator,20
collaborator incidental,198
get property non-void-command collaborator,25
get,536
incidental,301
copy-constructor,49
factory collaborator,2
controller,345
get controller,3
get collaborator,503
get set collaborator,80
property non-void-command,902
property non-void-command factory collaborator,329
stateless,32
property collaborator,35
get command,2
wrapper stateless,797
property controller,137
property non-void-command collaborator,2910
set collaborator,222
predicate non-void-command collaborator,196
wrapper,126
set,424
constructor,1563
get non-void-command collaborator,313
property wrapper,204
property,75
command collaborator,5501
empty,420
factory controller,34
predicate non-void-command,288
controller stateless,1822
non-void-command factory collaborator,250
predicate controller,19
command,4800
property factory wrapper,20
factory wrapper stateless,26
property factory collaborator,69
get property non-void-command factory collaborator,11
unclassified,6
factory collaborator stateless,62
void-accessor command collaborator,79
get property collaborator,1
get property non-void-command,12
property non-void-command factory,2
collaborator stateless,107
property factory controller,22
get set factory collaborator,10
factory collaborator incidental,150
property set,3
set factory collaborator,1
collaborator,1
factory controller stateless,135
void-accessor command,27
get non-void-command,64
non-void-command collaborator,10
get predicate controller,2
predicate wrapper,36
predicate,76
void-accessor set,1
get wrapper,9
get non-void-command factory collaborator,9
get set,49
get factory collaborator,3
Total,24500
