Unique Class Stereotype,Class Count
data-provider lazy-class small-class,1
pure-controller,3
boundary data-class,2
controller,3
data-provider boundary data-class,3
data-provider boundary data-class small-class,4
data-provider data-class small-class,12
entity minimal-entity boundary,2
boundary data-class small-class,7
entity data-provider boundary,3
data-provider boundary lazy-class small-class,3
factory controller small-class,6
pure-controller degenerate,34
entity factory controller,6
data-provider,9
factory degenerate small-class,3
factory controller degenerate,2
controller degenerate,14
data-provider boundary small-class,1
data-provider boundary,14
small-class,26
entity boundary small-class,26
controller small-class,1
unclassified,31
boundary,40
degenerate,43
entity boundary,72
data-class small-class,13
commander boundary,76
boundary degenerate,14
entity boundary degenerate,3
commander small-class,20
boundary small-class,3
data-provider data-class,4
factory degenerate,3
boundary lazy-class,1
degenerate small-class,19
data-class,13
boundary degenerate small-class,16
pure-controller degenerate small-class,28
entity commander boundary,4
entity small-class,1
commander,69
empty,142
factory controller,5
entity factory controller small-class,5
commander boundary small-class,56
Total,866
