Unique Class Stereotype,Class Count
entity data-provider boundary,1
entity factory controller small-class,3
data-provider boundary,1
pure-controller,3
commander data-class,1
degenerate small-class,36
controller small-class,2
unclassified,26
data-class,1
entity boundary,10
boundary degenerate small-class,22
factory pure-controller small-class,3
pure-controller degenerate small-class,27
entity commander boundary,3
pure-controller degenerate,8
commander boundary degenerate,2
commander boundary small-class,19
boundary degenerate,13
commander boundary,31
data-provider small-class,1
entity boundary small-class,11
small-class,18
boundary small-class,1
data-provider data-class small-class,2
boundary,9
degenerate,24
pure-controller small-class,2
controller,1
factory pure-controller degenerate small-class,2
factory controller small-class,2
empty,149
commander,46
entity small-class,1
commander small-class,30
commander boundary data-class small-class,7
Total,518
