Unique Method Stereotype,Method Count
get predicate non-void-command collaborator,2
void-accessor command collaborator,5
get property set,1
get property non-void-command collaborator,9
get non-void-command factory collaborator,5
property set factory collaborator,5
set factory collaborator,2
collaborator,4
factory collaborator incidental,3
empty,292
property non-void-command factory collaborator,395
property non-void-command,858
get wrapper,72
predicate,36
incidental,285
controller,867
copy-constructor,77
get set collaborator,263
factory controller stateless,99
get collaborator,1009
get controller,8
wrapper stateless,1855
property wrapper,401
get non-void-command collaborator,293
factory,1
non-void-command,3
set collaborator,158
property non-void-command collaborator,3407
property controller,112
set,373
constructor,3046
factory controller,21
get property controller,6
controller stateless,1830
non-void-command factory collaborator,278
predicate controller,90
property factory wrapper,28
command,7350
get,3132
collaborator incidental,62
predicate non-void-command collaborator,325
wrapper,412
non-void-command collaborator,12
get non-void-command,216
get predicate non-void-command,2
get set,1906
get factory collaborator,12
predicate set collaborator,1
collaborator stateless,106
property non-void-command factory,2
property set collaborator,37
property collaborator,15
stateless,62
property factory,2
predicate non-void-command,329
property factory collaborator,78
factory wrapper stateless,65
factory collaborator stateless,82
command collaborator,12496
property,101
get property collaborator,1
get property non-void-command,9
unclassified,10
get property non-void-command factory collaborator,3
void-accessor controller,1
property factory controller,29
get set factory collaborator,6
property set,9
predicate wrapper,17
get predicate controller,1
factory wrapper,4
get property,5
Total,43099
