Class Name,Class Stereotype,Method Name,Method Stereotype
"ThymeleafApplicationTests","degenerate small-class","contextLoads","empty",
"TLayoutApplicationTests","degenerate small-class","contextLoads","empty",
"IndexController","degenerate","index","incidental",
"IndexController","degenerate","fragment","incidental",
"IndexController","degenerate","layout","incidental",
"IndexController","degenerate","home","incidental",
"MessageControllerTest","commander","setup","set",
"MessageControllerTest","commander","saveMessage","command",
"MessageControllerTest","commander","getAllMessages","command",
"MessageControllerTest","commander","getMessage","command",
"MessageControllerTest","commander","modifyMessage","command",
"MessageControllerTest","commander","patchMessage","command",
"MessageControllerTest","commander","deleteMessage","command",
"MessageControllerTest","commander","saveMessages","command collaborator",
"SwaggerApplicationTests","degenerate small-class","test","empty",
"InMemoryMessageRepository","entity boundary","findAll","property non-void-command factory collaborator",
"InMemoryMessageRepository","entity boundary","save","property non-void-command collaborator",
"InMemoryMessageRepository","entity boundary","update","property non-void-command collaborator",
"InMemoryMessageRepository","entity boundary","updateText","property non-void-command collaborator",
"InMemoryMessageRepository","entity boundary","findMessage","property non-void-command collaborator",
"InMemoryMessageRepository","entity boundary","deleteMessage","command",
"Message","unclassified","getId","get",
"Message","unclassified","setId","set",
"Message","unclassified","getCreateDate","get collaborator",
"Message","unclassified","setCreateDate","set collaborator",
"Message","unclassified","getText","get",
"Message","unclassified","setText","set",
"Message","unclassified","getSummary","get",
"Message","unclassified","setSummary","set",
"Message","unclassified","toString","property",
"MessageController","entity boundary","list","property non-void-command collaborator",
"MessageController","entity boundary","create","property non-void-command collaborator",
"MessageController","entity boundary","modify","property non-void-command collaborator",
"MessageController","entity boundary","patch","property non-void-command collaborator",
"MessageController","entity boundary","get","property non-void-command collaborator",
"MessageController","entity boundary","delete","command collaborator",
"SchedulerApplicationTests","degenerate small-class","contextLoads","incidental",
"RedisApplicationTests","degenerate small-class","contextLoads","incidental",
"PackageApplication","pure-controller degenerate small-class","configure","controller stateless",
"MyBatisPlusTest","commander boundary","testSelectOne","command collaborator",
"MyBatisPlusTest","commander boundary","testInsert","command collaborator",
"MyBatisPlusTest","commander boundary","testDelete","command",
"MyBatisPlusTest","commander boundary","testUpdate","command collaborator",
"MyBatisPlusTest","commander boundary","testSelect","command collaborator",
"MyBatisPlusTest","commander boundary","testSelectCondition","command collaborator",
"MyBatisPlusTest","commander boundary","testPage","command collaborator",
"MyBatisPlusTest","commander boundary","print","controller stateless",
"MybatisPlusConfig","factory degenerate small-class","paginationInterceptor","factory wrapper stateless",
"MultiMongodbApplicationTests","degenerate small-class","contextLoads","incidental",
"UserRepositoryTest","commander boundary","testSaveUser","command collaborator",
"UserRepositoryTest","commander boundary","findUserByUserName","command collaborator",
"UserRepositoryTest","commander boundary","updateUser","command collaborator",
"UserRepositoryTest","commander boundary","deleteUserById","command",
"MongoDBApplicationTests","degenerate small-class","contextLoads","incidental",
"RepositoryTests","commander boundary small-class","testSetGet","command collaborator",
"MemcacheApplicationTests","degenerate small-class","contextLoads","empty",
"MemcachedRunner","data-provider small-class","run","unclassified",
"MemcachedRunner","data-provider small-class","getClient","get collaborator",
"MailApplicationTests","degenerate small-class","contextLoads","incidental",
"MAMApplicationTests","degenerate small-class","contextLoads","incidental",
"PrimaryConfig","unclassified","entityManagerFactoryPrimary","property controller",
"PrimaryConfig","unclassified","entityManager","property non-void-command collaborator",
"PrimaryConfig","unclassified","transactionManagerPrimary","property non-void-command factory collaborator",
"UserDetailRepositoryTests","commander boundary","testSaveAddress","command collaborator",
"UserDetailRepositoryTests","commander boundary","testSaveUserDetail","command collaborator",
"UserDetailRepositoryTests","commander boundary","testUserInfo","command collaborator",
"JpaSpecificationTests","commander boundary small-class","testFindByCondition","command collaborator",
"SwaggerConfig","entity factory controller small-class","api","property non-void-command factory collaborator",
"SwaggerConfig","entity factory controller small-class","apiInfo","factory wrapper stateless",
"HelloSender","commander small-class","send","command",
"FanoutSender","commander small-class","send","command",
"FanoutReceiverB","degenerate small-class","process","incidental",
"MXMApplicationTests","degenerate small-class","contextLoads","incidental",
"MultiJpaApplicationTests","degenerate small-class","contextLoads","incidental",
"ServletInitializer","pure-controller degenerate small-class","configure","controller stateless",
"UserControllerTest","commander small-class","setUp","set",
"UserControllerTest","commander small-class","getUsers","command",
"BaseResult<T>","data-class","BaseResult","constructor",
"BaseResult<T>","data-class","BaseResult","constructor",
"BaseResult<T>","data-class","BaseResult","constructor",
"BaseResult<T>","data-class","BaseResult","constructor",
"BaseResult<T>","data-class","getCode","get",
"BaseResult<T>","data-class","setCode","set",
"BaseResult<T>","data-class","getMsg","get",
"BaseResult<T>","data-class","setMsg","set",
"BaseResult<T>","data-class","getData","get collaborator",
"BaseResult<T>","data-class","setData","set collaborator",
"ExampleController","controller degenerate","string","controller stateless",
"ExampleController","controller degenerate","ifunless","controller stateless",
"ExampleController","controller degenerate","list","property non-void-command collaborator",
"ExampleController","controller degenerate","url","controller stateless",
"ExampleController","controller degenerate","eq","controller stateless",
"ExampleController","controller degenerate","switchcase","controller stateless",
"ExampleController","controller degenerate","getUserList","factory controller stateless",
"UploadController","unclassified","index","incidental",
"UploadController","unclassified","singleFileUpload","property non-void-command collaborator",
"UploadController","unclassified","uploadStatus","incidental",
"UploadController","unclassified","saveFile","property non-void-command collaborator",
"TopicSender","commander","send","command",
"TopicSender","commander","send1","command",
"TopicSender","commander","send2","command",
"UserDetail","unclassified","getId","get",
"UserDetail","unclassified","setId","set",
"UserDetail","unclassified","getUserId","get",
"UserDetail","unclassified","setUserId","set",
"UserDetail","unclassified","getAge","get",
"UserDetail","unclassified","setAge","set",
"UserDetail","unclassified","getRealName","get",
"UserDetail","unclassified","setRealName","set",
"UserDetail","unclassified","getStatus","get",
"UserDetail","unclassified","setStatus","set",
"UserDetail","unclassified","getHobby","get",
"UserDetail","unclassified","setHobby","set",
"UserDetail","unclassified","getIntroduction","get",
"UserDetail","unclassified","setIntroduction","set",
