Class Name,Class Stereotype,Method Name,Method Stereotype
"TestTimeoutExtension","pure-controller degenerate","afterAll","empty",
"TestTimeoutExtension","pure-controller degenerate","beforeAll","empty",
"TestTimeoutExtension","pure-controller degenerate","beforeEach","controller stateless",
"SpringCloudAlibabaExtension","boundary","beforeAll","command collaborator",
"SpringCloudAlibabaExtension","boundary","runInLocal","wrapper stateless",
"SpringCloudAlibabaExtension","boundary","runInDockerContainer","command collaborator",
"SpringCloudAlibabaExtension","boundary","afterAll","command collaborator",
"SpringCloudAlibabaExtension","boundary","beforeEach","controller stateless",
"SpringCloudAlibabaExtension","boundary","createDockerCompose","get set factory collaborator",
"HasDockerAndItEnabledCondition","data-provider boundary data-class small-class","evaluateExecutionCondition","get wrapper",
"SentinelDegradeTestApp","pure-controller degenerate small-class","degrade","stateless",
"SentinelDegradeTestApp","pure-controller degenerate small-class","onApplicationReady","controller stateless",
"RocketmqBinderProcessor","boundary degenerate small-class","uppercaseFunction","collaborator incidental",
"NacosDiscoveryTestApp","factory degenerate small-class","restTemplate","factory collaborator stateless",
"RocketMQSpecificPropertiesProviderHintsTests","boundary degenerate small-class","shouldRegisterHints","wrapper stateless",
"TestConsumerDestination","data-provider data-class small-class","TestConsumerDestination","constructor",
"TestConsumerDestination","data-provider data-class small-class","getName","get",
"RocketMQAutoConfigurationTests","commander","testProperties","command collaborator",
"RocketMQAutoConfigurationTests","commander","prepare","empty",
"RocketMQAutoConfigurationTests","commander","testProperties","command",
"RocketMQMessageConverterSupport","empty","RocketMQMessageConverterSupport","constructor",
"AbstractRocketMQHeaderMapper","boundary lazy-class","AbstractRocketMQHeaderMapper","constructor",
"AbstractRocketMQHeaderMapper","boundary lazy-class","AbstractRocketMQHeaderMapper","constructor",
"AbstractRocketMQHeaderMapper","boundary lazy-class","matches","wrapper stateless",
"AbstractRocketMQHeaderMapper","boundary lazy-class","getCharset","get collaborator",
"AbstractRocketMQHeaderMapper","boundary lazy-class","setCharset","set collaborator",
"RocketMQTopicProvisioner","entity","provisionProducerDestination","property non-void-command factory collaborator",
"RocketMQTopicProvisioner","entity","provisionConsumerDestination","property non-void-command factory collaborator",
"RocketMQTopicProvisioner","entity","checkTopic","wrapper stateless",
"RocketMQProducerProperties","unclassified","getSendMsgTimeout","get",
"RocketMQProducerProperties","unclassified","setSendMsgTimeout","set",
"RocketMQProducerProperties","unclassified","getCompressMsgBodyThreshold","get",
"RocketMQProducerProperties","unclassified","setCompressMsgBodyThreshold","set",
"RocketMQProducerProperties","unclassified","getRetryTimesWhenSendFailed","get",
"RocketMQProducerProperties","unclassified","setRetryTimesWhenSendFailed","set",
"RocketMQProducerProperties","unclassified","getRetryTimesWhenSendAsyncFailed","get",
"RocketMQProducerProperties","unclassified","setRetryTimesWhenSendAsyncFailed","set",
"RocketMQProducerProperties","unclassified","getRetryAnotherBroker","get",
"RocketMQProducerProperties","unclassified","setRetryAnotherBroker","set",
"RocketMQProducerProperties","unclassified","getMaxMessageSize","get",
"RocketMQProducerProperties","unclassified","setMaxMessageSize","set",
"RocketMQProducerProperties","unclassified","getProducerType","get",
"RocketMQProducerProperties","unclassified","setProducerType","set",
"RocketMQProducerProperties","unclassified","getSendType","get",
"RocketMQProducerProperties","unclassified","setSendType","set",
"RocketMQProducerProperties","unclassified","getSendCallBack","get",
"RocketMQProducerProperties","unclassified","setSendCallBack","set",
"RocketMQProducerProperties","unclassified","getTransactionListener","get",
"RocketMQProducerProperties","unclassified","setTransactionListener","set",
"RocketMQProducerProperties","unclassified","getMessageQueueSelector","get",
"RocketMQProducerProperties","unclassified","setMessageQueueSelector","set",
"RocketMQProducerProperties","unclassified","getErrorMessageStrategy","get",
"RocketMQProducerProperties","unclassified","setErrorMessageStrategy","set",
"RocketMQProducerProperties","unclassified","getSendFailureChannel","get",
"RocketMQProducerProperties","unclassified","setSendFailureChannel","set",
"RocketMQProducerProperties","unclassified","getCheckForbiddenHook","get",
"RocketMQProducerProperties","unclassified","setCheckForbiddenHook","set",
"RocketMQProducerProperties","unclassified","getSendMessageHook","get",
"RocketMQProducerProperties","unclassified","setSendMessageHook","set",
"RocketMQProducerProperties","unclassified","equalsName","predicate non-void-command",
"RocketMQProducerProperties","unclassified","equalsName","predicate non-void-command",
"RocketMQConsumerPropertiesHintsTests","boundary degenerate small-class","shouldRegisterHints","wrapper stateless",
"RocketMQProducerMessageHandler","entity boundary","RocketMQProducerMessageHandler","constructor",
"RocketMQProducerMessageHandler","entity boundary","onInit","command",
"RocketMQProducerMessageHandler","entity boundary","start","command collaborator",
"RocketMQProducerMessageHandler","entity boundary","stop","set",
"RocketMQProducerMessageHandler","entity boundary","isRunning","get",
"RocketMQProducerMessageHandler","entity boundary","handleMessageInternal","command collaborator",
"RocketMQProducerMessageHandler","entity boundary","send","property non-void-command factory collaborator",
"RocketMQProducerMessageHandler","entity boundary","getSendCallback","non-void-command factory collaborator",
"RocketMQProducerMessageHandler","entity boundary","doFail","command collaborator",
"RocketMQProducerMessageHandler","entity boundary","getSendFailureChannel","get collaborator",
"RocketMQProducerMessageHandler","entity boundary","setSendFailureChannel","set collaborator",
"RocketMQProducerMessageHandler","entity boundary","getErrorMessageStrategy","get collaborator",
"RocketMQProducerMessageHandler","entity boundary","setErrorMessageStrategy","set collaborator",
"RocketMQProducerMessageHandler","entity boundary","getPartitioningInterceptor","get collaborator",
"RocketMQProducerMessageHandler","entity boundary","setPartitioningInterceptor","get set collaborator",
"RocketMQAckCallback","unclassified","RocketMQAckCallback","constructor",
"RocketMQAckCallback","unclassified","isAcknowledged","get",
"RocketMQAckCallback","unclassified","noAutoAck","set",
"RocketMQAckCallback","unclassified","isAutoAck","get",
"RocketMQAckCallback","unclassified","acknowledge","command collaborator",
"DefaultErrorAcknowledgeHandler","boundary degenerate small-class","handler","collaborator incidental",
"Util","empty","Util","constructor",
"RocketMQInboundChannelAdapter","commander small-class","RocketMQInboundChannelAdapter","constructor",
"RocketMQInboundChannelAdapter","commander small-class","onInit","command",
"RocketMQConsumerFactory","empty","RocketMQConsumerFactory","constructor",
"RocketMQMessageConverter","entity boundary","RocketMQMessageConverter","constructor",
"RocketMQMessageConverter","entity boundary","getMessageConverter","get collaborator",
"RocketMQMessageConverter","entity boundary","setMessageConverter","set collaborator",
"RocketMQMessageConverter","entity boundary","supports","collaborator incidental",
"RocketMQMessageConverter","entity boundary","convertFromInternal","property non-void-command collaborator",
"RocketMQBinderAutoConfiguration","factory controller small-class","rocketMQTopicProvisioner","factory collaborator stateless",
"RocketMQBinderAutoConfiguration","factory controller small-class","rocketMQMessageChannelBinder","property factory collaborator",
"ExtendedBindingHandlerMappingsProviderConfiguration","factory degenerate","rocketExtendedPropertiesDefaultMappingsProvider","factory controller stateless",
"ExtendedBindingHandlerMappingsProviderConfiguration","factory degenerate","rocketMQMessageConverter","factory wrapper stateless",
"ExtendedBindingHandlerMappingsProviderConfiguration","factory degenerate","rocketMQCustomMessageConverter","factory collaborator stateless",
"RocketMQBinderHealthIndicator","pure-controller degenerate small-class","doHealthCheck","controller stateless",
