Class Name,Class Stereotype,Method Name,Method Stereotype
"TokenFilter","degenerate","filterType","incidental",
"TokenFilter","degenerate","filterOrder","incidental",
"TokenFilter","degenerate","shouldFilter","incidental",
"TokenFilter","degenerate","run","property non-void-command collaborator",
"ZuulApplicationTests","degenerate","contextLoads","empty",
"ZuulApplicationTests","degenerate","contextLoads","empty",
"ZuulApplicationTests","degenerate","contextLoads","empty",
"GateWayApplicationTests","degenerate small-class","contextLoads","empty",
"GateWayApplication","pure-controller degenerate small-class","customRouteLocator","controller stateless",
"ProducerFallback","degenerate","getRoute","incidental",
"ProducerFallback","degenerate","fallbackResponse","factory controller stateless",
"ProducerFallback","degenerate","fallbackResponse","property non-void-command collaborator",
"GatewayServiceZuulApplicationTests","degenerate small-class","contextLoads","empty",
"GatewayServiceZuulApplicationTests","degenerate small-class","contextLoads","empty",
"AdminServerApplicationTests","degenerate small-class","contextLoads","empty",
"HelloRemoteHystrix","boundary degenerate","hello","collaborator incidental",
"HelloRemoteHystrix","boundary degenerate","hello","collaborator incidental",
"HelloRemoteHystrix","boundary degenerate","hello2","collaborator incidental",
"HelloRemoteHystrix","boundary degenerate","hello","collaborator incidental",
"HelloController","unclassified","index","incidental",
"HelloController","unclassified","index","incidental",
"HelloController","unclassified","index","incidental",
"HelloController","unclassified","index","property non-void-command",
"HelloController","unclassified","index","property non-void-command",
"HelloController","unclassified","from","get",
"HelloController","unclassified","from","get",
"HelloController","unclassified","from","get",
"HelloController","unclassified","from","get",
"HelloController","unclassified","from","get",
"HelloController","unclassified","hello","incidental",
"HelloController","unclassified","hello","incidental",
"HelloController","unclassified","index","incidental",
"HelloController","unclassified","foo","incidental",
"HelloController","unclassified","index","incidental",
"HelloController","unclassified","foo","incidental",
"HelloController","unclassified","index","incidental",
"HelloController","unclassified","index","property non-void-command",
"HelloController","unclassified","index","property non-void-command",
"HelloController","unclassified","index","property non-void-command",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"SpringCloudEurekaApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ProducerApplicationTests","degenerate","contextLoads","empty",
"ConsulConsumerApplicationTests","degenerate small-class","contextLoads","empty",
"GateWayServiceApplicationTests","degenerate small-class","contextLoads","empty",
"ConsumerController","entity boundary","index","property non-void-command collaborator",
"ConsumerController","entity boundary","index","property non-void-command collaborator",
"ConsumerController","entity boundary","index","property non-void-command collaborator",
"ConsumerController","entity boundary","index","property non-void-command collaborator",
"ConsumerController","entity boundary","index","property non-void-command collaborator",
"ApplicationTests","degenerate","contextLoads","incidental",
"ApplicationTests","degenerate","contextLoads","incidental",
"ApplicationTests","degenerate","contextLoads","incidental",
"ApplicationTests","degenerate","contextLoads","incidental",
"ApplicationTests","degenerate","contextLoads","incidental",
"ZuulApplication","factory degenerate small-class","tokenFilter","factory collaborator stateless",
"EurekaApplicationTests","degenerate","contextLoads","empty",
"EurekaApplicationTests","degenerate","contextLoads","empty",
"EurekaApplicationTests","degenerate","contextLoads","empty",
"Producer2ApplicationTests","degenerate small-class","contextLoads","empty",
"CallHelloController","small-class","call","property non-void-command",
"ConsulProducerApplicationTests","degenerate small-class","contextLoads","empty",
"ConsulProducerApplicationTests","degenerate small-class","contextLoads","empty",
"ServiceController","entity boundary small-class","services","property non-void-command collaborator",
"ServiceController","entity boundary small-class","discover","property non-void-command collaborator",
"Config","boundary degenerate small-class","ipKeyResolver","wrapper stateless",
"Config","boundary degenerate small-class","userKeyResolver","wrapper stateless",
