Unique Class Stereotype,Class Count
boundary lazy-class degenerate,1
entity boundary data-class small-class,1
factory degenerate,1
boundary controller,1
minimal-entity,1
lazy-class,1
commander boundary lazy-class small-class,1
entity factory controller,1
entity minimal-entity data-provider boundary,1
entity factory controller small-class,8
entity boundary lazy-class degenerate,3
entity minimal-entity commander boundary,2
small-class,92
entity small-class,15
entity boundary degenerate,3
unclassified,165
controller small-class,26
data-provider boundary lazy-class,7
boundary data-class small-class,6
controller data-class small-class,1
minimal-entity lazy-class,1
commander boundary degenerate,9
controller degenerate,10
entity commander boundary,74
lazy-class small-class,1
factory pure-controller small-class,7
controller lazy-class,1
boundary degenerate small-class,53
boundary,179
pure-controller small-class,18
degenerate,121
large-class,2
commander boundary small-class,58
factory pure-controller degenerate small-class,12
boundary degenerate,32
commander boundary,398
data-provider data-class small-class,17
data-provider boundary data-class small-class,37
degenerate small-class,34
boundary lazy-class,2
controller,27
pure-controller,4
data-provider boundary small-class,13
data-provider boundary data-class,13
entity boundary small-class,98
pure-controller degenerate small-class,117
minimal-entity commander boundary,4
entity boundary,167
commander,328
commander boundary data-class small-class,4
data-class,6
entity minimal-entity boundary,22
data-provider boundary,14
commander small-class,46
boundary data-class,8
data-provider,27
data-class small-class,9
minimal-entity boundary,10
factory controller small-class,7
entity boundary data-class,4
factory degenerate small-class,9
data-provider data-class,5
entity minimal-entity boundary lazy-class,1
boundary small-class,10
lazy-class degenerate,4
pure-controller degenerate,61
entity data-provider boundary,12
empty,541
data-provider lazy-class small-class,2
entity,2
commander boundary lazy-class,2
data-provider small-class,3
commander boundary data-class,1
commander boundary large-class,1
data-provider lazy-class,2
Total,2987
