Class Name,Class Stereotype,Method Name,Method Stereotype
"CityHandlerTest","commander boundary small-class","testSave","command collaborator",
"EchoHandler","pure-controller degenerate small-class","handle","controller stateless",
"WebSocketConfiguration","factory degenerate small-class","webSocketMapping","factory controller stateless",
"WebSocketConfiguration","factory degenerate small-class","handlerAdapter","factory wrapper stateless",
"CityWebFluxReactiveController","entity boundary","findCityById","property non-void-command collaborator",
"CityWebFluxReactiveController","entity boundary","saveCity","property non-void-command collaborator",
"CityWebFluxReactiveController","entity boundary","deleteCity","property non-void-command collaborator",
"CityWebFluxController","entity boundary","findCityById","property non-void-command collaborator",
"CityWebFluxController","entity boundary","findAllCity","property non-void-command collaborator",
"CityWebFluxController","entity boundary","saveCity","property non-void-command collaborator",
"CityWebFluxController","entity boundary","modifyCity","property non-void-command collaborator",
"CityWebFluxController","entity boundary","deleteCity","property non-void-command collaborator",
"ErrorJsonControllerTest","degenerate small-class","testSayHello","empty",
"ErrorJsonController","factory degenerate small-class","findOneCity","factory wrapper stateless",
"ResultBody","data-class","ResultBody","constructor",
"ResultBody","data-class","ResultBody","constructor",
"ResultBody","data-class","getCode","get",
"ResultBody","data-class","setCode","set",
"ResultBody","data-class","getMessage","get",
"ResultBody","data-class","setMessage","set",
"ResultBody","data-class","getResult","get collaborator",
"ResultBody","data-class","setResult","set collaborator",
"GlobalErrorInfoHandler","factory pure-controller degenerate small-class","errorHandlerOverJson","factory controller stateless",
"PropertiesTest","commander small-class","getHomeProperties","command",
"PropertiesTest","commander small-class","randomTestUser","command",
"UserProperties","unclassified","getId","get",
"UserProperties","unclassified","setId","set",
"UserProperties","unclassified","getAge","get",
"UserProperties","unclassified","setAge","set",
"UserProperties","unclassified","getDesc","get",
"UserProperties","unclassified","setDesc","set",
"UserProperties","unclassified","getUuid","get",
"UserProperties","unclassified","setUuid","set",
"UserProperties","unclassified","toString","property",
"User","unclassified","getId","get",
"User","unclassified","setId","set",
"User","unclassified","getName","get",
"User","unclassified","setName","set",
"User","unclassified","getAge","get",
"User","unclassified","setAge","set",
"User","unclassified","getBirthday","get",
"User","unclassified","setBirthday","set",
"User","unclassified","User","constructor",
"User","unclassified","User","constructor",
"User","unclassified","toString","property",
"UserRestController","entity boundary small-class","findByName","property non-void-command collaborator",
"BookControllerTest","commander boundary","init","set",
"BookControllerTest","commander boundary","getBookList","command",
"BookControllerTest","commander boundary","test_create_book_success","command collaborator",
"BookControllerTest","commander boundary","test_create_book_fail_404_not_found","command collaborator",
"BookControllerTest","commander boundary","test_get_book_success","command collaborator",
"BookControllerTest","commander boundary","test_get_by_id_fail_null_not_found","command",
"BookControllerTest","commander boundary","test_update_book_success","command collaborator",
