Unique Class Stereotype,Class Count
controller degenerate,1
boundary degenerate small-class,2
entity boundary,3
commander boundary small-class,2
commander small-class,5
entity minimal-entity boundary,2
pure-controller small-class,1
data-class,1
pure-controller degenerate small-class,10
data-provider boundary data-class,1
data-provider,4
data-provider data-class small-class,4
empty,83
unclassified,20
boundary degenerate,3
commander boundary,5
degenerate,4
controller small-class,1
data-provider boundary,4
data-provider boundary small-class,2
commander,20
pure-controller degenerate,1
boundary,10
entity data-provider boundary,2
controller lazy-class small-class,1
small-class,4
entity boundary small-class,2
Total,198
