Unique Class Stereotype,Class Count
boundary degenerate small-class,1
controller,1
entity boundary small-class,3
small-class,4
data-provider lazy-class degenerate,1
commander boundary,9
boundary degenerate,2
controller degenerate,2
factory controller degenerate,1
data-provider,1
controller lazy-class degenerate,13
pure-controller degenerate,10
minimal-entity commander boundary,1
data-provider boundary,2
boundary small-class,1
entity commander boundary,1
pure-controller degenerate small-class,1
data-class,1
commander small-class,4
commander boundary data-class small-class,1
boundary lazy-class,1
data-provider boundary small-class,2
commander boundary small-class,6
commander degenerate,1
commander,14
empty,98
controller small-class,4
unclassified,26
boundary,8
degenerate,5
entity boundary,6
entity data-provider boundary,11
Total,242
