Class Name,Class Stereotype,Method Name,Method Stereotype
"ExecutionTracerTest","commander boundary","setUp","wrapper stateless",
"ExecutionTracerTest","commander boundary","startWorkflow_always_createExecutionTracerAtStartStage","wrapper stateless",
"ExecutionTracerTest","commander boundary","startPortScanning_always_setsExecutionTracerToCorrectState","command collaborator",
"ExecutionTracerTest","commander boundary","startPortScanning_whenExecutionStageIsNotStart_throwsException","command collaborator",
"ExecutionTracerTest","commander boundary","startServiceFingerprinting_always_setsExecutionTracerToCorrectState","command collaborator",
"ExecutionTracerTest","commander boundary","startServiceFingerprinting_whenStageNotPortScanning_throwsException","controller",
"ExecutionTracerTest","commander boundary","startServiceFingerprinting_whenPortScanningTimerNotRunning_throwsException","command collaborator",
"ExecutionTracerTest","commander boundary","startVulnerabilityDetecting_always_setsExecutionTracerToCorrectState","command collaborator",
"ExecutionTracerTest","commander boundary","startVulnerabilityDetecting_whenStageNotFingerprinting_throwsException","command collaborator",
"ExecutionTracerTest","commander boundary","startVulnerabilityDetecting_whenFingerprintingTimerNotRunning_throwsException","command collaborator",
"ExecutionTracerTest","commander boundary","setDone_always_setsExecutionTracerToCorrectState","command collaborator",
"ExecutionTracerTest","commander boundary","setDone_whenStageNotVulnerabilityDetecting_throwsException","wrapper",
"ExecutionTracerTest","commander boundary","setDone_whenVulnerabilityDetectingTimerNotRunning_throwsException","command collaborator",
"ExecutionTracerTest","commander boundary","forceDone_always_stopsAllTimerAndSetDoneStatus","command collaborator",
"ExecutionTracerTest","commander boundary","buildLoggableExecutionTrace_always_generatesExpectedMessage","command",
"ScanningWorkflowException","empty","ScanningWorkflowException","constructor",
"DefaultScanningWorkflowTest","commander boundary","setUp","wrapper stateless",
"DefaultScanningWorkflowTest","commander boundary","run_whenAllRequiredPluginsInstalled_executesScanningWorkflow","command collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenUriScanTarget_executesScanningWorkflow","command collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenNoPortScannerInstalled_returnsFailedScanResult","set collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenNoFingerprinterInstalled_executesScanningWorkflow","collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenPortScannerFailed_returnsFailedScanResult","set collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenServiceFingerprinterFailed_reusesNetworkServicesFromPortScan","set collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenServiceFingerprinterSucceeded_fillsReconnaissanceReportWithFingerprintResult","set collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenSomeVulnDetectorFailed_returnsPartiallySucceededScanResult","set collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenAllVulnDetectorFailed_returnsFailedScanResult","set collaborator",
"DefaultScanningWorkflowTest","commander boundary","run_whenNullScanTarget_throwsNullPointerException","set collaborator",
"ExecutionTracer","entity boundary","ExecutionTracer","constructor",
"ExecutionTracer","entity boundary","ExecutionTracer","constructor",
"ExecutionTracer","entity boundary","getCurrentExecutionStage","get collaborator",
"ExecutionTracer","entity boundary","startPortScanning","command collaborator",
"ExecutionTracer","entity boundary","startServiceFingerprinting","command collaborator",
"ExecutionTracer","entity boundary","startVulnerabilityDetecting","command collaborator",
"ExecutionTracer","entity boundary","setDone","unclassified",
"ExecutionTracer","entity boundary","forceDone","unclassified",
"ExecutionTracer","entity boundary","isDone","predicate non-void-command",
"ExecutionTracer","entity boundary","getPortScanningStageRuntime","property non-void-command collaborator",
"ExecutionTracer","entity boundary","getServiceFingerprintingStageRuntime","property non-void-command collaborator",
"ExecutionTracer","entity boundary","getVulnerabilityDetectingStageRuntime","property non-void-command collaborator",
"ExecutionTracer","entity boundary","getSelectedPortScanners","get collaborator",
"ExecutionTracer","entity boundary","getSelectedServiceFingerprinters","get collaborator",
"ExecutionTracer","entity boundary","getSelectedVulnDetectors","get collaborator",
"ExecutionTracer","entity boundary","buildLoggableExecutionTrace","property non-void-command collaborator",
"PayloadSecretGeneratorTest","pure-controller small-class","generate_always_generatesExpectedSecretString","controller",
"PayloadGeneratorWithoutCallbackServerTest","commander boundary","setUp","wrapper",
"PayloadGeneratorWithoutCallbackServerTest","commander boundary","isCallbackServerEnabled_returnsFalse","command",
"PayloadGeneratorWithoutCallbackServerTest","commander boundary","getNonCallbackPayload_withLinuxConfiguration_returnsPrintfPayload","command collaborator",
"PayloadGeneratorWithoutCallbackServerTest","commander boundary","getPayload_withLinuxConfiguration_returnsPrintfPayload","command collaborator",
