Class Name,Class Stereotype,Method Name,Method Stereotype
"AspectRatioTextView","commander boundary","AspectRatioTextView","constructor"
"AspectRatioTextView","commander boundary","AspectRatioTextView","constructor"
"AspectRatioTextView","commander boundary","AspectRatioTextView","constructor"
"AspectRatioTextView","commander boundary","setActiveColor","command"
"AspectRatioTextView","commander boundary","setAspectRatio","command collaborator"
"AspectRatioTextView","commander boundary","getAspectRatio","get non-void-command"
"AspectRatioTextView","commander boundary","onDraw","command collaborator"
"AspectRatioTextView","commander boundary","init","command collaborator"
"AspectRatioTextView","commander boundary","applyActiveColor","command collaborator"
"AspectRatioTextView","commander boundary","toggleAspectRatio","command"
"AspectRatioTextView","commander boundary","setTitle","wrapper"
"UCropView","unclassified","UCropView","constructor"
"UCropView","unclassified","UCropView","constructor"
"UCropView","unclassified","setListenersToViews","command"
"UCropView","unclassified","shouldDelayChildPressedState","incidental"
"UCropView","unclassified","getCropImageView","get collaborator"
"UCropView","unclassified","getOverlayView","get collaborator"
"UCropView","unclassified","resetCropImageView","command"
"RotationGestureDetector","unclassified","RotationGestureDetector","constructor"
"RotationGestureDetector","unclassified","getAngle","get"
"RotationGestureDetector","unclassified","onTouchEvent","predicate non-void-command collaborator"
"RotationGestureDetector","unclassified","calculateAngleBetweenLines","wrapper stateless"
"RotationGestureDetector","unclassified","calculateAngleDelta","get set"
"ResultActivity","commander boundary","onCreate","command collaborator"
"ResultActivity","commander boundary","onCreateOptionsMenu","wrapper stateless"
"ResultActivity","commander boundary","onOptionsItemSelected","predicate non-void-command collaborator"
"ResultActivity","commander boundary","onRequestPermissionsResult","command"
"ResultActivity","commander boundary","saveCroppedImage","command collaborator"
"ResultActivity","commander boundary","copyFileToDownloads","command collaborator"
"ResultActivity","commander boundary","showNotification","command collaborator"
"ResultActivity","commander boundary","createChannel","factory controller"
"AspectRatio","data-provider","AspectRatio","constructor"
"AspectRatio","data-provider","AspectRatio","constructor"
"AspectRatio","data-provider","writeToParcel","controller"
"AspectRatio","data-provider","describeContents","incidental"
"AspectRatio","data-provider","getAspectRatioTitle","get"
"AspectRatio","data-provider","getAspectRatioX","get"
"AspectRatio","data-provider","getAspectRatioY","get"
"HorizontalProgressWheelView","commander","HorizontalProgressWheelView","constructor"
"HorizontalProgressWheelView","commander","HorizontalProgressWheelView","constructor"
"HorizontalProgressWheelView","commander","HorizontalProgressWheelView","constructor"
"HorizontalProgressWheelView","commander","HorizontalProgressWheelView","constructor"
"HorizontalProgressWheelView","commander","setScrollingListener","set collaborator"
"HorizontalProgressWheelView","commander","setMiddleLineColor","set"
"HorizontalProgressWheelView","commander","onTouchEvent","predicate non-void-command collaborator"
"HorizontalProgressWheelView","commander","onDraw","command collaborator"
"HorizontalProgressWheelView","commander","onScrollEvent","command"
"HorizontalProgressWheelView","commander","init","command"
"TransformImageView","commander","TransformImageView","constructor"
"TransformImageView","commander","TransformImageView","constructor"
"TransformImageView","commander","TransformImageView","constructor"
"TransformImageView","commander","setTransformImageListener","set collaborator"
"TransformImageView","commander","setScaleType","command collaborator"
"TransformImageView","commander","setMaxBitmapSize","set"
"TransformImageView","commander","getMaxBitmapSize","get set"
"TransformImageView","commander","setImageBitmap","wrapper stateless"
"TransformImageView","commander","getImageInputPath","get"
"TransformImageView","commander","getImageOutputPath","get"
"TransformImageView","commander","getExifInfo","get collaborator"
"TransformImageView","commander","setImageUri","command collaborator"
"TransformImageView","commander","getCurrentScale","property non-void-command"
"TransformImageView","commander","getMatrixScale","wrapper stateless"
"TransformImageView","commander","getCurrentAngle","property non-void-command"
"TransformImageView","commander","getMatrixAngle","wrapper stateless"
"TransformImageView","commander","setImageMatrix","command collaborator"
"TransformImageView","commander","getViewBitmap","wrapper stateless"
"TransformImageView","commander","postTranslate","command"
"TransformImageView","commander","postScale","command"
"TransformImageView","commander","postRotate","command"
