Unique Method Stereotype,Method Count
factory wrapper,1
predicate collaborator,1
get property factory collaborator,1
factory stateless,1
get property set collaborator,1
get property wrapper,2
factory,1
property set,3
predicate set collaborator,3
unclassified,5
property set collaborator,2
predicate set,5
get,998
collaborator incidental,175
get property non-void-command collaborator,23
property non-void-command factory collaborator,93
property non-void-command,454
stateless,1
property collaborator,5
get property set factory collaborator,4
incidental,469
factory collaborator,3
controller,382
copy-constructor,38
property wrapper,95
get non-void-command collaborator,31
factory wrapper stateless,4
constructor,1303
set,621
wrapper stateless,512
empty,289
get property controller,6
factory controller,44
get wrapper,3
property controller,60
property non-void-command collaborator,780
set collaborator,337
get set collaborator,50
get collaborator,587
factory collaborator stateless,62
predicate non-void-command collaborator,334
wrapper,113
controller stateless,997
non-void-command factory collaborator,143
predicate controller,37
predicate wrapper,8
command collaborator,2322
property,25
command,1702
property factory wrapper,3
get property factory wrapper,1
predicate non-void-command,248
property factory,4
factory collaborator incidental,5
get non-void-command factory collaborator,485
factory controller stateless,40
void-accessor command,42
get non-void-command,20
get property non-void-command factory collaborator,12
property factory collaborator,23
get property collaborator,1
void-accessor set collaborator,1
get property non-void-command,26
get property set,1
get factory collaborator,3
get set,6
non-void-command factory,3
get predicate non-void-command,1
void-accessor set,1
predicate,40
void-accessor controller,1
get set factory collaborator,336
property factory controller,12
collaborator stateless,5
property non-void-command factory,5
set factory collaborator,1
collaborator,1
void-accessor command collaborator,14
get property,3
Total,14480
